S/N,Project ID,Data requested,BI service,Delivery Method,RNA Box No.,Original Sample Position,Sample Accession Number [R8800xxxx],Internal ID,Client's Sample name  ,Sample Origin,RIN,Nanodrop Conc (ng/uL),Nanodrop A260/280,Nanodrop A230/260,DV200,Stranded/ Non-stranded,200ng RNA input Vol[ul],NFW ul (to 8ul),Input plate position,RNA input [ng],Library  Prep Plate,Lib_Conc. (ng/ul),D1000 Tapestation Library peak Size(bp),D1000 Tapestation Library Average Size(bp),Library Prep,Well Position,ng for pooling for 1pmol,volume for circularization (µl),ssCir plate pos,Qubit ssDNA Conc.[ng/µL] (>0.6),"DNB conc
Qubit ssDNA ng/ul",Index(*),Sequencing Mode(*),Required Reads,data output,output_ratio,Flowcell ID,Read1 files path(*),Read2 files path
79,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,H10,R88009296,,100_72_TNF_D3a_EV_002,Cultured Cells,9.1,51.3,2.1,0.9,95.8,Stranded,3.9,4.1,G10,200,LP 13,26.6,484,497,LP 13,G10,328.02,1.23,A8,2.44,24.9,UDB079,PE150,40,44.6,1.12,E200015101,,
80,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,A11,R88009297,,100_72_TNF_D3a_EV_003,Cultured Cells,9.5,57.9,2,2.1,97.2,Stranded,3.5,4.5,H10,200,LP 13,54,471,474,LP 13,H10,312.84,0.58,A8,2.44,24.9,UDB080,PE150,40,59.6,1.49,E200015101,,
81,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,B11,R88009298,,100_72_TNF_D3a_Cre_001,Cultured Cells,10,58.6,2,1.1,97.5,Stranded,3.4,4.6,A11,200,LP 13,36.2,488,492,LP 13,A11,324.72,0.9,A9,3.44,18.5,UDB081,PE150,40,51.5,1.29,E200015101,,
82,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,C11,R88009299,,100_72_TNF_D3a_Cre_002,Cultured Cells,9.4,61.7,2.1,0.8,97,Stranded,3.2,4.8,B11,200,LP 13,25,490,495,LP 13,B11,326.7,1.31,A9,3.44,18.5,UDB082,PE150,40,44.9,1.12,E200015101,,
83,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,D11,R88009300,,100_72_TNF_D3a_Cre_003,Cultured Cells,9.8,38.5,2.1,0.1,95,Stranded,5.2,2.8,C11,200,LP 13,14.9,496,482,LP 13,C11,318.12,2.14,A9,3.44,18.5,UDB083,PE150,40,47.4,1.18,E200015101,,
84,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,E11,R88009301,,10_6_Il1b_WT_EV_001,Cultured Cells,6.1,19.8,2.1,0.4,96.2,Stranded,8,0,D11,158.1,LP 13,18.3,487,479,LP 13,D11,316.14,1.73,A9,3.44,18.5,UDB084,PE150,40,46.5,1.16,E200015101,,
85,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,F11,R88009302,,10_6_Il1b_WT_EV_002,Cultured Cells,6.6,23.7,2.1,0.2,95.9,Stranded,8,0,E11,189.5,LP 13,46,479,496,LP 13,E11,327.36,0.71,A9,3.44,18.5,UDB085,PE150,40,65.6,1.64,E200015101,,
86,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,G11,R88009303,,10_6_Il1b_WT_EV_003,Cultured Cells,8.9,23.3,2.1,1,96.9,Stranded,8,0,F11,186.6,LP 13,35,480,484,LP 13,F11,319.44,0.91,A9,3.44,18.5,UDB086,PE150,40,54.4,1.36,E200015101,,
87,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,H11,R88009304,,10_6_Il1b_WT_Cre_001,Cultured Cells,7.3,18.7,2,0.2,96.3,Stranded,8,0,G11,149.8,LP 13,48.2,487,501,LP 13,G11,330.66,0.69,A9,3.44,18.5,UDB087,PE150,40,46.9,1.17,E200015101,,
88,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,A12,R88009305,,10_6_Il1b_WT_Cre_002,Cultured Cells,6.9,28.9,2,0.8,96.9,Stranded,6.9,1.1,H11,200,LP 13,50.4,470,474,LP 13,H11,312.84,0.62,A9,3.44,18.5,UDB088,PE150,40,56.7,1.42,E200015101,,
89,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,B12,R88009306,,10_6_Il1b_WT_Cre_003,Cultured Cells,7.3,21.6,1.9,0.4,96.8,Stranded,8,0,A12,172.9,LP 13,40.2,490,502,LP 13,A12,331.32,0.82,A9,3.44,18.5,UDB089,PE150,40,51.2,1.28,E200015101,,
90,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,C12,R88009307,,10_6_Il1b_D3a_EV_001,Cultured Cells,1.5,16.7,2.2,0,50.2,Stranded,8,0,B12,133.3,LP 13,21.4,486,501,LP 13,B12,330.66,1.55,A9,3.44,18.5,UDB090,PE150,40,46,1.15,E200015101,,
91,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,D12,R88009308,,10_6_Il1b_D3a_EV_002,Cultured Cells,8.7,18.4,2.2,0.5,96.6,Stranded,8,0,C12,147.5,LP 13,46.6,476,493,LP 13,C12,325.38,0.7,A10,3.37,18.2,UDB091,PE150,40,56.9,1.42,E200015101,,
92,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,F12,R88009310,,10_6_Il1b_D3a_Cre_001,Cultured Cells,9,35.1,2.1,0.3,96.7,Stranded,5.7,2.3,D12,200,LP 13,54.6,480,495,LP 13,D12,326.7,0.6,A10,3.37,18.2,UDB092,PE150,40,58.1,1.45,E200015101,,
93,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,G12,R88009311,,10_6_Il1b_D3a_Cre_002,Cultured Cells,8.8,38.25,2.02,0.52,97.04,Stranded,5.2,2.8,E12,200,LP 13,25.8,483,477,LP 13,E12,314.82,1.22,A10,3.37,18.2,UDB093,PE150,40,52.4,1.31,E200015101,,
94,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,H12,R88009312,,10_6_Il1b_D3a_Cre_003,Cultured Cells,7.3,34.83,2.05,0.25,96.56,Stranded,5.7,2.3,F12,200,LP 13,48.6,484,498,LP 13,F12,328.68,0.68,A10,3.37,18.2,UDB094,PE150,40,61.8,1.54,E200015101,,
95,Hu Ref RNA,,,,,Hu Ref RNA,Hu Ref RNA,,Hu Ref RNA,,N/A,81.3,N/A,N/A,N/A,Stranded,2.5,5.5,G12,200,LP 13,83.2,464,484,LP 13,G12,319.44,0.38,A10,3.37,18.2,UDB095,PE150,40,17.8,0.45,E200015101,,
96,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,A01,R88009313,,100_6_Il1b_WT_EV_001,Cultured Cells,7.4,33.2,2.1,0.4,96.9,Stranded,6,2,A1,200,LP14,23.8,483,485,LP14,A1,320.1,1.3,A10,3.37,18.2,UDB097,PE150,40,57.7,1.44,E200015101,,
97,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,B01,R88009314,,100_6_Il1b_WT_EV_002,Cultured Cells,7.3,35.3,2.2,1.8,97.5,Stranded,5.7,2.3,B1,200,LP14,21.3,484,487,LP14,B1,321.4,1.5,A10,3.37,18.2,UDB098,PE150,40,57.6,1.44,E200015101,,
98,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,C01,R88009315,,100_6_Il1b_WT_EV_003,Cultured Cells,7.4,35.9,2.2,1.3,97.2,Stranded,5.6,2.4,C1,200,LP14,20.1,485,476,LP14,C1,314.16,1.56,A10,3.37,18.2,UDB099,PE150,40,55.4,1.38,E200015101,,
99,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,D01,R88009316,,100_6_Il1b_WT_Cre_001,Cultured Cells,8.1,27.4,2.2,0.3,97,Stranded,7.3,0.7,D1,200,LP14,21.6,475,471,LP14,D1,310.9,1.4,A10,3.37,18.2,UDB100,PE150,40,53.3,1.33,E200015101,,
100,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,E01,R88009317,,100_6_Il1b_WT_Cre_002,Cultured Cells,8.1,31.8,2.2,0.7,97.1,Stranded,6.3,1.7,E1,200,LP14,24.2,475,476,LP14,E1,314.2,1.3,A10,3.37,18.2,UDB101,PE150,40,59.4,1.49,E200015101,,
101,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,F01,R88009318,,100_6_Il1b_WT_Cre_003,Cultured Cells,8.1,23.2,2.3,0.5,96.8,Stranded,8,0,F1,185.8,LP14,17.3,481,479,LP14,F1,316.1,1.8,A11,3.36,18.8,UDB102,PE150,40,19.4,0.49,E200015101,,
102,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,G01,R88009319,,100_6_Il1b_D3a_EV_001,Cultured Cells,9,23.3,2.1,0.2,96.8,Stranded,8,0,G1,186.4,LP14,26.5,469,468,LP14,G1,308.9,1.2,A11,3.36,18.8,UDB103,PE150,40,40.8,1.02,E200015101,,
103,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,H01,R88009320,,100_6_Il1b_D3a_EV_002,Cultured Cells,9,24.6,2.2,0.5,97.1,Stranded,8,0,H1,197.1,LP14,17.9,444,455,LP14,H1,300.3,1.7,A11,3.36,18.8,UDB104,PE150,40,42,1.05,E200015101,,
104,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,A02,R88009321,,100_6_Il1b_D3a_EV_003,Cultured Cells,8.7,28.5,2.2,0.9,97.3,Stranded,7,1,A2,200,LP14,24.94,481,488,LP14,A2,322.1,1.3,A11,3.36,18.8,UDB105,PE150,40,54.3,1.36,E200015101,,
105,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,B02,R88009322,,100_6_Il1b_D3a_Cre_001,Cultured Cells,9.2,59.4,2.1,1.2,97.7,Stranded,3.4,4.6,B2,200,LP14,26.99,485,493,LP14,B2,325.4,1.2,A11,3.36,18.8,UDB106,PE150,40,46.6,1.17,E200015101,,
106,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,C02,R88009323,,100_6_Il1b_D3a_Cre_002,Cultured Cells,9.3,51.2,2.1,1.8,97.3,Stranded,3.9,4.1,C2,200,LP14,25.92,486,494,LP14,C2,326,1.3,A11,3.36,18.8,UDB107,PE150,40,47,1.17,E200015101,,
107,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,D02,R88009324,,100_6_Il1b_D3a_Cre_003,Cultured Cells,9,42.4,2.1,0.4,97.4,Stranded,4.7,3.3,D2,200,LP14,31.87,478,485,LP14,D2,320.1,1,A11,3.36,18.8,UDB108,PE150,40,51.7,1.29,E200015101,,
108,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,E02,R88009325,,10_24_Il1b_WT_EV_001,Cultured Cells,9.4,61,2.1,1.7,97.8,Stranded,3.3,4.7,E2,200,LP14,24.85,482,492,LP14,E2,324.7,1.3,A11,3.36,18.8,UDB109,PE150,40,44.7,1.12,E200015101,,
109,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,F02,R88009326,,10_24_Il1b_WT_EV_002,Cultured Cells,9.5,57.6,2.2,1.2,97.8,Stranded,3.5,4.5,F2,200,LP14,22.94,473,469,LP14,F2,309.5,1.3,A11,3.36,18.8,UDB110,PE150,40,44.1,1.1,E200015101,,
110,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,G02,R88009327,,10_24_Il1b_WT_EV_003,Cultured Cells,9.6,58.7,2.1,1.6,97.8,Stranded,3.4,4.6,G2,200,LP14,27.99,472,478,LP14,G2,315.5,1.1,A11,3.36,18.8,UDB111,PE150,40,50.7,1.27,E200015101,,
111,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,H02,R88009328,,10_24_Il1b_WT_Cre_001,Cultured Cells,9.6,58.4,2.1,1.9,97.6,Stranded,3.4,4.6,H2,200,LP14,19.22,468,479,LP14,H2,316.1,1.6,A12,3.58,15.9,UDB112,PE150,40,46.2,1.15,E200015101,,
112,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,A03,R88009329,,10_24_Il1b_WT_Cre_002,Cultured Cells,9.8,57.9,2.1,2.2,98.5,Stranded,3.5,4.5,A3,200,LP14,27.17,485,496,LP14,A3,327.4,1.2,A12,3.58,15.9,UDB113,PE150,40,40.3,1.01,E200015101,,
113,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,B03,R88009330,,10_24_Il1b_WT_Cre_003,Cultured Cells,9.9,59.5,2.1,1.3,98,Stranded,3.4,4.6,B3,200,LP14,22.8,489,498,LP14,B3,328.7,1.4,A12,3.58,15.9,UDB114,PE150,40,49.9,1.25,E200015101,,
114,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,C03,R88009331,,10_24_Il1b_D3a_EV_001,Cultured Cells,9.8,59.8,2.2,0.9,98.1,Stranded,3.3,4.7,C3,200,LP14,30.14,483,490,LP14,C3,323.4,1.1,A12,3.58,15.9,UDB115,PE150,40,44.2,1.11,E200015101,,
115,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,D03,R88009332,,10_24_Il1b_D3a_EV_002,Cultured Cells,9.8,64.6,2.1,2.2,98,Stranded,3.1,4.9,D3,200,LP14,23.21,487,488,LP14,D3,322.1,1.4,A12,3.58,15.9,UDB116,PE150,40,52.9,1.32,E200015101,,
116,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,E03,R88009333,,10_24_Il1b_D3a_EV_003,Cultured Cells,10,59.6,2.2,2.1,95.3,Stranded,3.4,4.6,E3,200,LP14,22.57,482,477,LP14,E3,314.8,1.4,A12,3.58,15.9,UDB117,PE150,40,49.3,1.23,E200015101,,
117,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,F03,R88009334,,10_24_Il1b_D3a_Cre_001,Cultured Cells,9.9,59.6,2.1,2.3,98,Stranded,3.4,4.6,F3,200,LP14,26.23,470,466,LP14,F3,307.6,1.2,A12,3.58,15.9,UDB118,PE150,40,49.6,1.24,E200015101,,
118,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,G03,R88009335,,10_24_Il1b_D3a_Cre_002,Cultured Cells,10,62.5,2,2.3,98.1,Stranded,3.2,4.8,G3,200,LP14,29.21,466,470,LP14,G3,310.2,1.06,A12,3.58,15.9,UDB119,PE150,40,50.6,1.26,E200015101,,
119,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,H03,R88009336,,10_24_Il1b_D3a_Cre_003,Cultured Cells,10,57.3,2.1,1.4,97.7,Stranded,3.5,4.5,H3,200,LP14,11.48,463,469,LP14,H3,309.54,2.7,A12,3.58,15.9,UDB120,PE150,40,48.3,1.21,E200015101,,
120,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,A04,R88009337,,100_24_Il1b_WT_EV_001,Cultured Cells,10,59.8,2.1,2,98.2,Stranded,3.3,4.7,A4,200,LP14,19.73,489,491,LP14,A4,324.06,1.64,A12,3.58,15.9,UDB121,PE150,40,54.1,1.35,E200015101,,
121,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,B04,R88009338,,100_24_Il1b_WT_EV_002,Cultured Cells,10,56.9,2.2,1.1,97.9,Stranded,3.5,4.5,B4,200,LP14,7.48,493,493,LP14,B4,325.38,4.35,B1,2.27,26.3,UDB122,PE150,40,60.3,1.51,E200014548,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/flowcell ID,
122,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,C04,R88009339,,100_24_Il1b_WT_EV_003,Cultured Cells,10,58,2.1,2,98.1,Stranded,3.4,4.6,C4,200,LP14,21.32,489,501,LP14,C4,330.66,1.55,B1,2.27,26.3,UDB123,PE150,40,59.4,1.49,E200014548,,
123,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,D04,R88009340,,100_24_Il1b_WT_Cre_001,Cultured Cells,10,58.9,2.1,0.7,98,Stranded,3.4,4.6,D4,200,LP14,17.67,491,496,LP14,D4,327.36,1.85,B1,2.27,26.3,UDB124,PE150,40,37.5,0.94,E200014548,,
124,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,E04,R88009341,,100_24_Il1b_WT_Cre_002,Cultured Cells,9.9,56.4,2.2,1.1,97.5,Stranded,3.5,4.5,E4,200,LP14,22.92,489,501,LP14,E4,330.66,1.44,B1,2.27,26.3,UDB125,PE150,40,56.8,1.42,E200014548,,
125,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,F04,R88009342,,100_24_Il1b_WT_Cre_003,Cultured Cells,9.9,57.3,2.2,1.7,97.6,Stranded,3.5,4.5,F4,200,LP14,23.34,485,485,LP14,F4,320.1,1.37,B1,2.27,26.3,UDB126,PE150,40,52.6,1.32,E200014548,,
126,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,G04,R88009343,,100_24_Il1b_D3a_EV_001,Cultured Cells,9.9,62.9,2.1,1.7,97.9,Stranded,3.2,4.8,G4,200,LP14,24.75,477,477,LP14,G4,314.82,1.27,B1,2.27,26.3,UDB127,PE150,40,60.4,1.51,E200014548,,
127,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,H04,R88009344,,100_24_Il1b_D3a_EV_002,Cultured Cells,10,52,2.1,1.3,97.9,Stranded,3.8,4.2,H4,200,LP14,23.74,477,483,LP14,H4,318.78,1.34,B1,2.27,26.3,UDB128,PE150,40,57.1,1.43,E200014548,,
128,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,A05,R88009345,,100_24_Il1b_D3a_EV_003,Cultured Cells,9.9,58.5,2,2.1,98.2,Stranded,3.4,4.6,A5,200,LP14,27.02,485,508,LP14,A5,335.28,1.24,B1,2.27,26.3,UDB129,PE150,40,67.4,1.69,E200014548,,
129,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,B05,R88009346,,100_24_Il1b_D3a_Cre_001,Cultured Cells,10,56.4,2.1,1.6,98.1,Stranded,3.5,4.5,B5,200,LP14,22.13,488,488,LP14,B5,322.08,1.46,B1,2.27,26.3,UDB130,PE150,40,58,1.45,E200014548,,
130,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,C05,R88009347,,100_24_Il1b_D3a_Cre_002,Cultured Cells,9.9,56.2,2.2,1.5,97.9,Stranded,3.6,4.4,C5,200,LP14,29.99,491,498,LP14,C5,328.68,1.1,B1,2.27,26.3,UDB131,PE150,40,60.7,1.52,E200014548,,
131,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,D05,R88009348,,100_24_Il1b_D3a_Cre_003,Cultured Cells,10,64.5,2.1,0.6,97.4,Stranded,3.1,4.9,D5,200,LP14,24.85,483,488,LP14,D5,322.08,1.3,B2,2.42,25.8,UDB132,PE150,40,58.3,1.46,E200014548,,
132,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,A06,R88009353,,10_72_Il1b_WT_Cre_002,Cultured Cells,9.6,22.7,2.1,0.4,96.6,Stranded,8,0,E5,181.6,LP14,18.74,486,481,LP14,E5,317.46,1.69,B2,2.42,25.8,UDB133,PE150,40,52.3,1.31,E200014548,,
133,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,H06,R88009360,,10_72_Il1b_D3a_Cre_003,Cultured Cells,9.7,16.4,2.2,0.3,95.4,Stranded,8,0,F5,131.2,LP14,12.77,492,503,LP14,F5,331.98,2.6,B2,2.42,25.8,UDB134,PE150,40,52,1.3,E200014548,,
134,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,A07,R88009361,,100_72_Il1b_WT_EV_001,Cultured Cells,9.5,62.2,2.1,0.3,93.3,Stranded,3.2,4.8,G5,200,LP14,18.27,478,480,LP14,G5,316.8,1.73,B2,2.42,25.8,UDB135,PE150,40,49.7,1.24,E200014548,,
135,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,B07,R88009362,,100_72_Il1b_WT_EV_002,Cultured Cells,9.5,59.6,2.1,0.8,93.7,Stranded,3.4,4.6,H5,200,LP14,13.35,457,468,LP14,H5,308.88,2.31,B2,2.42,25.8,UDB136,PE150,40,55.4,1.39,E200014548,,
136,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,C07,R88009363,,100_72_Il1b_WT_EV_003,Cultured Cells,8.3,48.7,2.1,0.4,93.2,Stranded,4.1,3.9,A6,200,LP14,13.08,486,491,LP14,A6,324.06,2.48,B2,2.42,25.8,UDB137,PE150,40,57.2,1.43,E200014548,,
137,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,D07,R88009364,,100_72_Il1b_WT_Cre_001,Cultured Cells,9.4,55.3,2.1,0.4,92.8,Stranded,3.6,4.4,B6,200,LP14,9.77,487,478,LP14,B6,315.48,3.23,B2,2.42,25.8,UDB138,PE150,40,55.9,1.4,E200014548,,
138,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,E07,R88009365,,100_72_Il1b_WT_Cre_002,Cultured Cells,9.3,58.4,2.2,0.5,92.1,Stranded,3.4,4.6,C6,200,LP14,13.16,490,485,LP14,C6,320.1,2.43,B2,2.42,25.8,UDB139,PE150,40,54.8,1.37,E200014548,,
139,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,F07,R88009366,,100_72_Il1b_WT_Cre_003,Cultured Cells,9.4,61.8,2.2,1.3,94,Stranded,3.2,4.8,D6,200,LP14,10.98,493,491,LP14,D6,324.06,2.95,B2,2.42,25.8,UDB140,PE150,40,41,1.02,E200014548,,
140,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,G07,R88009367,,100_72_Il1b_D3a_EV_001,Cultured Cells,9.1,59.8,2.1,1.2,92.3,Stranded,3.3,4.7,E6,200,LP14,10.08,493,485,LP14,E6,320.1,3.18,B2,2.42,25.8,UDB141,PE150,40,57.9,1.45,E200014548,,
141,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,H07,R88009368,,100_72_Il1b_D3a_EV_002,Cultured Cells,9.5,31.5,2,0.2,88.6,Stranded,6.3,1.7,F6,200,LP14,6.18,493,472,LP14,F6,311.52,5.04,B3,2.56,26.8,UDB142,PE150,40,48.8,1.22,E200014548,,
142,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,A08,R88009369,,100_72_Il1b_D3a_EV_003,Cultured Cells,9.3,54.3,2.1,0.3,94.5,Stranded,3.7,4.3,G6,200,LP14,14.41,478,480,LP14,G6,316.8,2.2,B3,2.56,26.8,UDB143,PE150,40,49.5,1.24,E200014548,,
143,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,B08,R88009370,,100_72_Il1b_D3a_Cre_001,Cultured Cells,9.7,54.6,2.1,0.2,95.7,Stranded,3.7,4.3,H6,200,LP14,10.31,485,490,LP14,H6,323.4,3.14,B3,2.56,26.8,UDB144,PE150,40,56.7,1.42,E200014548,,
144,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,C08,R88009371,,100_72_Il1b_D3a_Cre_002,Cultured Cells,9.7,62.8,2.1,0.6,95.8,Stranded,3.2,4.8,A7,200,LP14,18.08,489,497,LP14,A7,328.02,1.81,B3,2.56,26.8,UDB145,PE150,40,56.6,1.41,E200014548,,
145,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,D08,R88009372,,100_72_Il1b_D3a_Cre_003,Cultured Cells,9.9,32.2,2.2,0.2,94.5,Stranded,6.2,1.8,B7,200,LP14,8.84,492,496,LP14,B7,327.36,3.7,B3,2.56,26.8,UDB146,PE150,40,61.7,1.54,E200014548,,
146,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,E08,R88009373,,10_6_Il6_WT_EV_001,Cultured Cells,10,21.4,2.3,0.1,97.5,Stranded,8,0,C7,171,LP14,8.98,486,488,LP14,C7,322.08,3.59,B3,2.56,26.8,UDB147,PE150,40,46.9,1.17,E200014548,,
147,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,F08,R88009374,,10_6_Il6_WT_EV_002,Cultured Cells,10,28.4,2.3,0.2,97.4,Stranded,7,1,D7,200,LP14,14.79,487,478,LP14,D7,315.48,2.13,B3,2.56,26.8,UDB148,PE150,40,55.8,1.39,E200014548,,
148,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,G08,R88009375,,10_6_Il6_WT_EV_003,Cultured Cells,10,14.1,2.1,0,97.1,Stranded,8,0,E7,112.9,LP14,4.31,497,496,LP14,E7,327.36,7.6,B3,2.56,26.8,UDB149,PE150,40,62.1,1.55,E200014548,,
149,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,H08,R88009376,,10_6_Il6_WT_Cre_001,Cultured Cells,9.9,22.2,2.1,0.1,97.4,Stranded,8,0,F7,177.9,LP14,15.13,485,490,LP14,F7,323.4,2.14,B3,2.56,26.8,UDB150,PE150,40,53,1.33,E200014548,,
150,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,A09,R88009377,,10_6_Il6_WT_Cre_002,Cultured Cells,9.7,24.7,2.1,0.1,96.7,Stranded,8,0,G7,197.2,LP14,14.25,483,480,LP14,G7,316.8,2.22,B3,2.56,26.8,UDB151,PE150,40,55.9,1.4,E200014548,,
151,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,B09,R88009378,,10_6_Il6_WT_Cre_003,Cultured Cells,10,19.3,2.1,0.1,96.9,Stranded,8,0,H7,154.2,LP14,6.53,463,462,LP14,H7,304.92,4.67,B4,2.72,26,UDB152,PE150,40,53.5,1.34,E200014548,,
152,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,C09,R88009379,,10_6_Il6_D3a_EV_001,Cultured Cells,10,14.1,2.2,0.3,97.2,Stranded,8,0,A8,112.4,LP14,13.07,492,500,LP14,A8,330,2.52,B4,2.72,26,UDB153,PE150,40,50.3,1.26,E200014548,,
153,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,D09,R88009380,,10_6_Il6_D3a_EV_002,Cultured Cells,9.6,15.6,2,0,96.4,Stranded,8,0,B8,124.6,LP17,3.17,545,517,LP17,A1,359.7,11.35,B4,2.72,26,UDB154,PE150,40,77.1,1.93,E200014548,,
154,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,F09,R88009382,,10_6_Il6_D3a_Cre_001,Cultured Cells,10,16.2,2.3,0.3,97.4,Stranded,8,0,C8,129.7,LP14,20.37,483,502,LP14,C8,331.32,1.63,B4,2.72,26,UDB155,PE150,40,53.4,1.34,E200014548,,
155,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,H09,R88009384,,10_6_Il6_D3a_Cre_003,Cultured Cells,9.3,21.4,2,0.1,96.7,Stranded,8,0,D8,171,LP14,20.49,483,485,LP14,D8,320.1,1.56,B4,2.72,26,UDB156,PE150,40,51.5,1.29,E200014548,,
156,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,A10,R88009385,,100_6_Il6_WT_EV_001,Cultured Cells,9.9,53.4,2.2,0.2,97.7,Stranded,3.7,4.3,E8,200,LP14,33.43,479,474,LP14,E8,312.84,0.94,B4,2.72,26,UDB157,PE150,40,51.2,1.28,E200014548,,
157,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,B10,R88009386,,100_6_Il6_WT_EV_002,Cultured Cells,9.9,58.5,2.1,0.7,97.7,Stranded,3.4,4.6,F8,200,LP14,39.1,477,474,LP14,F8,312.84,0.8,B4,2.72,26,UDB158,PE150,40,47.7,1.19,E200014548,,
158,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,C10,R88009387,,100_6_Il6_WT_EV_003,Cultured Cells,9.9,49,2.2,0.1,97.5,Stranded,4.1,3.9,G8,200,LP14,25.8,453,460,LP14,G8,303.6,1.18,B4,2.72,26,UDB159,PE150,40,52.9,1.32,E200014548,,
159,RNA_20240408_128,40M,Fastq,AWS,RNA Box 17,D10,R88009388,,100_6_Il6_WT_Cre_001,Cultured Cells,9.6,47.3,2.1,0.1,97.4,Stranded,4.2,3.8,H8,200,LP14,26.1,467,486,LP14,H8,320.76,1.23,B4,2.72,26,UDB160,PE150,40,43.7,1.09,E200014548,,
